History,Item,Reception,Comments,Misc
2024-09-08,Contagion (2011),7,
2024-09-08,Starcrash (1978),9,"full power to combat speed"
2024-16-08,Rebel Moon Part Two (2024),4,
2024-16-08,DS9 House of Quark,10,
2024-23-08,Minority Report (2001),7,
2024-23-08,Air (2015),3,
2024-30-08,Alita: Battle Angel,6,
2024-30-08,DS9 Past Tense,8,Past Tense Day!
2024-06-09,Borderlands (2024),4,
2024-06-09,Ghost in the Shell (2017),6,
2024-13-09,Escape from New York (1981),6,
2024-13-09,Liquid Sky,,Safeworded out of Liquid Sky. went back and watched it on my own -- 9/10
2024-20-09,Mars Express (2023),8,
2024-20-09,Tomorrowland (2015),4,
2024-27-09,The Adventures of Pluto Nash (2002),6,
2024-27-09,Delicatessen (1991),7,
2024-04-10,Breathe (2024),5,
2024-04-10,The Abyss (1989),6,
2024-11-10,Mars Needs Moms (2011),4,
2024-11-10,A.I. Artificial Intelligence (2001),8,
2024-18-10,Mortal Engines (2018),6,
2024-18-10,Daybreakers (2019),7,
2024-25-10,Crimes of the Future (2022),6,
2024-25-10,Lifeforce (1985),8,Trigger incident
2024-01-11,The League of Extraordinary Gentlemen (2003),7,
2024-01-11,Honey I shrunk the kids (1989),8,
2024-08-11,Sorry to Bother You (2018),9,
2024-08-11,Snowpiercer (2013),6,
2024-15-11,Deep Impact (1998),,
2024-22-11,,,friendsgiving cancelation
2024-29-11,65 (2023),3,
2024-29-11,Space Mutiny (MST3K) (1997),9,
2024-06-12,Moontrap (1989),8,
2024-06-12,Eternal Sunshine of the Spotless Mind (2004),7,
2024-13-12,Star Wars V: The Empire Strikes Back (1980),9,
2024-13-12,Sky Captain and the World of Tomorrow (2004),4,
2024-20-12,Close Encounters of the Third Kind (1977),9,
2024-20-12,I Robot (2004),7,
2024-27-12,Mission to Mars (2000),5,
2024-27-12,Goldmember (2002),,
2025-03-01,Chicken Run: Dawn of the Nugget,5,
2025-10-01,Treasure Planet,8,
2025-10-01,Megalopolis,2,
2025-17-01,Space Truckers (1996),8,
2025-17-01,Starman (1984),8,
2025-31-01,Section 31 (2025),1,
2025-31-01,Primer (2004),9,
2025-07-02,The Hunger Games (2012),6,
2025-07-02,Ghost in the Shell (1995),7,
2025-14-02,Pacific Rim (2013),6,
2025-21-02,John Carter (2012),6,
2025-21-02,Seattle Superstorm (2012),6,seattle superstorm peaked at the lightning explosion and nosedove toward the end
2025-28-02,Overdrawn at the Memory Bank (MST3K) (1983),3,people really hated the mst3k version
2025-28-02,World’s End,7,
2025-07-03,Soylent Green (1973),9,
2025-07-03,Donnie Darko (2001),10,small sample size but donnie darko was a surprisingly beautiful movie
2025-14-03,Dr. Mordrid (1992),5,
2025-14-03,Minutemen (2008),3,
